ResponseId,Gender,Nationality,Semester,Safety,Protest,group
R_2P7BC6MDQWEXXUJ,2,Dutch,5,6,2,Experimental
R_8BOsIcps3kpRm4p,2,bulgarian,5,7,1,Experimental
R_2AO2X085kxX8OJj,2,Italian,3,6,2,Experimental
R_8mfwzeFBit1MoCd,2,French,3,6,1,Experimental
R_84oSCvsdKTOpYBb,1,Dutch,5,7,1,Experimental
R_87PneV8oTypVyrT,2,Romanian,3,6,2,Experimental
R_8ZRMGRuJZ8zZntD,3,South African,5,2,1,Experimental
R_2NGzZMDn1lSvIqd,2,dutch,7,6,2,Experimental
R_2cLesQKGeBE4oAV,2,Dutch,5,6,1,Control
R_2fdDwjD0HG254XY,2,Dutch,3,6,1,Experimental
R_8JzGxfEXdRjYcc9,2,"German, Ethiopian",6,2,1,Control
R_2tclM8BaSCvJetl,1,Frenglish,3,7,3,Control
R_8xQKTm8giZaQm6w,2,USA,3,7,2,Control
R_88YG6jYwwCdiXGQ,1,Dutch,3,7,2,Control
R_8mWSQEnYahHSunE,2,German,3,6,1,Experimental
R_26fBWIv6U33xUKx,2,Hungarian/Luxembourgish,3,4,1,Experimental
R_2qmoG4F77pTYXoL,2,Dutch,3,5,1,Control
R_2L1QYKeJpWaaQox,2,Dutch,3,6,2,Control
R_2y7pN0GrFjGL2FB,2,Dutch,5,6,1,Experimental
R_2GDc4DNKXGMg8Lf,1,Dutch,5,7,1,Control
R_8taiWPVPMhQDUhH,1,American,3,7,1,Control
R_8Ic6Evxw6eThTTU,2,Dutch,3,7,1,Control
R_8NbjSqwp3YPKjVO,2,German/Chilean,3,7,1,Experimental
R_2Ib0Xm6FOavw3ds,2,Chinese,3,5,1,Control
R_2zLLJppB1buB0ku,2,CH/DE/US,5,6,1,Control
R_27dvLxfZLcCjofx,2,Dutch,5,7,1,Experimental
R_2h5pAOgM9kDmLGF,1,French,3,7,2,Experimental
R_2Wth3PrnG3pltiV,2,Slovak,3,6,2,Experimental
R_2vEboyhE1e90hhv,2,Spanish,3,7,2,Control
R_2ljmstGmIrGnWSd,2,Dutch,3,4,3,Control
R_8y9iUz5B2wLX2R8,2,Italian,5,6,1,Control
R_82Ltpgr1RYuIdBb,1,Prefer not to say,3,7,3,Control
R_89RcOHnofUiobOF,2,Spanish,5,7,1,Control
R_8roP0e96X3nKbnX,2,North American,3,5,1,Control
R_8T4vDhlKPSZiPqV,3,Dutch,5,6,1,Control
R_8gI5nhfSDcgwmJj,2,American/Irish,3,5,2,Experimental
R_2WO0jf83UjYV6El,3,Spanish,3,5,1,Control
R_27BBvzswpSGUSIK,2,dutch,5,6,2,Control
R_8chgKP1e4Hzzk2v,1,Albanian,3,7,3,Control
R_2G4k9494bHVTgxr,2,Dutch,5,6,1,Experimental
R_89nbaylCOOv5a33,2,French,5,6,1,Control
R_8Dw01Aoo8jdc0y4,2,Czech Canadian,3,7,2,Experimental
R_8U53XAnl87O5cw9,1,Belgian,5,7,1,Experimental
R_8jp2PF2YB52N5cJ,2,Indian,3,5,1,Experimental
R_29t4VavgVdYUTiS,1,Dutch,3,7,1,Control
R_2nITacwuVwbIdta,2,Australian,3,5,1,Control
R_2e2eJZEh7xwTMrq,2,Norwegian / German,3,7,1,Control
R_8QE1IHxKDnSMB4K,2,Dutch,5,7,2,Experimental
R_2aZScN0NuzZMgi5,2,Dutch,5,6,2,Control
R_2wvBGqROv8IUfHH,1,American,3,6,2,Control
R_2LCjHtmQoucwe3R,2,Dutch,3,7,1,Experimental
R_8YGpMzgU6sRY2gV,2,dutch,3,6,2,Experimental
R_8PuUyhDfbesAcsE,2,Dutch,5,7,2,Control
R_82KIWCRkwu6Oh8l,2,Germany,5,6,2,Experimental
R_82RAxcHfcJXzvWL,1,Dutch,3,5,2,Experimental
R_2VMmzoDKpmBrx8B,2,Dutch,5,7,2,Experimental
R_2ODYsS7EY7shUxa,2,Dutch,2,6,1,Experimental
R_8WwCIuQ8ubPhROR,2,German,1,6,1,Experimental
R_8co29gfYYbb7iBX,3,Slovak,1,5,1,Control
R_88XKWVZWRdLEoUW,3,Finnish,1,7,1,Experimental
R_8QJf9CD471gFWWl,2,Italian,1,6,1,Experimental
R_8ewvFECvfiumKYy,2,Italian,1,6,2,Control
R_8sm1TKQOE17CzN7,2,German,1,6,1,Control
R_8oGddly6lpPC6x2,2,hungarian,1,7,1,Control
R_25WoVaFt34PLMT0,1,Dutch English,1,7,1,Experimental
R_22zOoRDbFswXJpL,1,Dutch,1,7,2,Control
R_8PvwymULToHmu2c,2,German,1,6,1,Control
R_8JDwvDx3bQ6Mu9Q,2,Bulgarian,1,6,2,Experimental
R_2P5Xhw19s7CHCpI,2,Luxembourgish,1,7,1,Experimental
R_2fl6jIA2flyjSwp,2,Dutch,1,7,1,Experimental
R_8XB477IzDZp4P73,1,Portuguese,2,6,2,Control
R_8LcCYH6PYQNmj0E,1,Dutch,1,5,3,Control
R_2ZBPuuMmuTbgb0H,3,Dutch,1,6,1,Experimental
R_2FraVy8Lm4Obtsd,2,dutch,1,6,2,Control
R_2DCh2SY1zmw2oYp,2,Dutch,1,6,1,Experimental
R_2J4dpohSLg5MNK2,2,swiss,1,7,1,Control
R_2YiiilkIJ67Xt7H,1,Croatian,1,6,2,Experimental
R_2qXocjpQFjsz32v,1,Dutch,1,7,1,Experimental
R_2L19wmDVqFfLu37,2,German,1,7,1,Control
R_2A0atEo4qp2cTaP,2,USA,1,6,1,Control
R_4eaEitfvsrd2MK8,4,Polish,5,7,1,Control
R_8aBxsrTO0Yz6Rdn,1,Italian,3,7,1,Experimental
R_8VegWhMfG5zna6L,2,Dutch,1,6,1,Experimental
R_8TLEWMq2dW4LuV8,2,American,4,4,3,Control
R_2i8rdbKftQpWBgL,2,NA,1,7,1,Control
R_8rHEfrBOwL218EM,2,Norwegian,5,3,3,Experimental
R_22W38EOtSNMxKMN,2,Dutch,1,7,1,Control
R_87EbBLViPMPAAOl,1,LA SUISSE 🇨🇭,1,7,1,Experimental
R_2ngVxbLacGaz3y1,2,french,1,6,2,Control
R_2pEgJYN0vTqrbSm,2,Indian,3,6,2,Experimental
R_8roPzZTZbHz022v,2,Peruvian,1,7,3,Experimental
R_2rORrBVf2d8dur8,4,Vietnamese,1,6,1,Experimental
R_2mENJp0GDq6PV4b,2,Dutch,3,6,2,Control
R_8QZSqiDDrKCA3Ad,2,Polish,1,7,1,Control
R_214KwG7N2k7jpZ8,2,spanish,1,6,1,Experimental
R_8F8PGydcNODTPt7,2,French,1,7,1,Control
R_8od3vkuN3KaCSbV,2,Dutch,1,7,2,Experimental
R_2BS2dxmvUGgmPP6,2,Turkish,3,2,1,Control
R_8TLPLMQFof77gad,2,NA,3,5,2,Experimental
R_2OqOdBAKKdBAOAb,2,South African,3,6,1,Experimental
R_2Dpf5vexMdOPRUO,2,Japanese,1,5,1,Experimental
R_8vcJOtmFcaZKrzb,1,Albanian,3,7,2,Control
R_85y5ssRD9HOb2ut,2,Dutch,1,7,3,Experimental
R_26znTRQlTiDslfb,2,Dutch,1,7,2,Experimental
R_2eJ9cMKP0EYKKRP,2,Spanish Austrian,1,5,1,Experimental
R_2xhwEB6BY4kaOVb,2,American,1,7,1,Experimental
R_8iePeG0ONV4reM1,2,South African,1,7,1,Experimental
R_2frrBVroaNChwM9,1,Japanese Dutch,1,6,2,Experimental
R_2jMSesbCEZ1Rlip,2,German,3,6,2,Control
R_2QsGQcksx695GzB,2,Irish,3,6,1,Control
R_8nBOekaWwRkAmXC,2,French,3,5,1,Control
R_8pX1mIKuoOpqVY1,2,French,1,7,2,Control
R_8ypTOtD9DVSbbEr,2,Spanish,3,6,2,Experimental
R_8ieQvk2XDtD4Xso,2,Serbian,1,7,2,Control
R_82Q6EsziAt48m5o,3,Mexican,5,7,1,Experimental
R_8JFcsoN1u2mSkz6,2,Dutch,5,6,1,Experimental
R_82zhaWKekPJIdkb,2,French,5,7,1,Control
R_2P4vJWthgOW3Clc,2,Dutch,1,5,2,Experimental
R_8WwxpPdTlfHycAF,2,italian,5,6,1,Experimental
R_285brBu431npMiJ,1,Cyprus,5,6,1,Control
R_2AVVfEbNgZmdnKV,1,Hungarian,1,7,2,Experimental
R_28Nz3bm0nH5qA4F,1,Netherlands,5,5,1,Experimental
R_2PYrrs9vKW3kdwc,2,Dutch,3,5,2,Control
R_2iyw376xeCp82y9,2,Dutch,3,6,1,Experimental
R_8NfTQkjvdm2U1gS,1,Spain,3,1,3,Experimental
R_8MLP9NNnlw4GUl5,2,Dutch,3,6,1,Experimental
R_8X4fvL9tYq88GJO,2,Dutch,3,5,3,Control
R_2PiR1HbAo4COQVg,1,Albanian,3,7,3,Experimental
R_81cI8Yj9PzHEj27,2,Dutch,3,7,2,Experimental
R_8dQ82NACn3h9SZU,1,Dutch,3,6,2,Control
R_2P2fLFVdVuqSOOp,2,Italian,3,5,1,Control
R_2rcyACbL22cOKNb,2,19,3,2,1,Experimental
R_2MKbXUmQvTMalDb,2,Norwegian,3,7,1,Experimental
R_2CVkMA0Dm1zXoNR,2,Italian,3,6,2,Experimental
R_230PntR67MMYBJT,2,German,3,5,1,Control
R_8WNISUI2yAeDzre,2,USA,3,6,2,Experimental
R_2s0UAKLQG44Umyr,2,Hungarian,3,5,2,Control
R_83TP4ouiUH4ceWW,NA,NA,NA,6,2,Experimental
R_8voEfHlEFVop1Id,2,Croatian,3,6,1,Experimental
R_8IEZZ8jPfaLHXcB,2,Dutch,3,6,2,Control
R_2IW1tSbfYboIFcx,2,French,5,6,1,Control
R_2L0C37j9RChIATh,2,Dutch,3,6,2,Control
